RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Jim Furyk,84,69.33,312,450
2,2,Sergio Garcia,61,66.67,218,327
3,4,Brian Gay,81,65.69,381,580
4,3,Kevin Na,94,65.16,389,597
5,6,Jason Day,54,64.95,202,311
6,5,Justin Leonard,75,64.56,368,570
7,7,Brendon Todd,108,63.57,445,700
8,8,Russell Knox,92,63.4,336,530
9,11,Chris Kirk,105,63.3,433,684
10,9,Tim Wilkinson,86,63.19,357,565
11,12,"Ted Potter, Jr.",68,62.76,268,427
12,16,Matt Kuchar,91,62.4,327,524
13,10,Jordan Spieth,102,62.39,413,662
14,14,Keegan Bradley,89,62.31,329,528
15,15,Charlie Wi,72,62.27,307,493
16,17,Jerry Kelly,80,62.1,308,496
17,13,Rickie Fowler,91,62.06,337,543
18,18,Chris Stroud,88,61.89,341,551
19,20,Ricky Barnes,92,61.8,343,555
20,21,Phil Mickelson,71,61.71,274,444
T21,T22,Charl Schwartzel,64,61.67,251,407
T21,T22,Scott Langley,95,61.67,370,600
23,24,David Toms,64,61.6,215,349
24,25,Heath Slocum,71,61.58,250,406
25,26,Brian Davis,93,61.55,397,645
T26,T28,Ernie Els,85,61.36,335,546
T26,T28,Billy Hurley III,86,61.36,324,528
28,30,Freddie Jacobson,91,61.34,376,613
29,31,Luke Guthrie,85,61.29,342,558
30,32,Charles Howell III,106,61.26,378,617
31,27,Justin Rose,70,61.23,248,405
32,33,Richard Lee,80,61.21,344,562
33,35,Retief Goosen,94,61.12,360,589
34,36,Stuart Appleby,92,61.0,366,600
35,37,David Hearn,97,60.99,358,587
36,34,Zach Johnson,97,60.75,342,563
37,19,Adam Scott,68,60.73,232,382
38,39,Luke Donald,57,60.59,226,373
T39,T41,Graeme McDowell,66,60.47,231,382
T39,T41,Jeff Overton,80,60.47,283,468
T41,43,Brian Stuard,91,60.42,342,566
T41,T52,Hideki Matsuyama,82,60.42,313,518
43,49,Bill Haas,107,60.37,358,593
44,44,Bryce Molder,77,60.34,286,474
45,45,Seung-Yul Noh,92,60.33,330,547
46,46,Pat Perez,84,60.3,325,539
47,47,Aaron Baddeley,74,60.27,314,521
48,48,Bronson La'Cassie,51,60.24,197,327
49,38,John Senden,99,60.21,345,573
50,69,Gary Woodland,93,60.11,333,554
51,50,Chad Campbell,57,60.08,158,263
T52,T54,Robert Allenby,83,59.96,283,472
T52,T54,Andres Romero,81,59.96,328,547
54,57,Brad Fritsch,50,59.93,181,302
55,58,Spencer Levin,59,59.89,227,379
56,59,Mike Weir,69,59.84,298,498
T57,T61,Dustin Johnson,58,59.76,196,328
T57,T61,Bud Cauley,56,59.76,196,328
59,63,Jason Kokrak,65,59.75,242,405
T60,T64,Brian Harman,111,59.66,426,714
T60,T64,Chad Collins,78,59.66,318,533
62,66,Brice Garnett,92,59.6,329,552
63,67,Sean O'Hair,77,59.57,302,507
64,70,Charley Hoffman,93,59.53,328,551
65,71,Greg Chalmers,85,59.49,348,585
66,72,Brandt Snedeker,89,59.48,342,575
T67,T73,Brendan Steele,89,59.45,305,513
T67,T73,Shawn Stefani,60,59.45,217,365
69,60,Patrick Reed,92,59.42,350,589
T70,81,Cameron Tringale,111,59.34,394,664
T70,75,Tim Clark,75,59.34,286,482
72,76,Jhonattan Vegas,77,59.23,247,417
73,77,Vijay Singh,83,59.19,306,517
74,T52,Bubba Watson,76,59.14,249,421
T75,T78,Ben Crane,81,59.1,315,533
T75,T78,Ben Martin,80,59.1,289,489
T77,82,Andrew Svoboda,77,59.05,261,442
T77,51,Webb Simpson,87,59.05,310,525
79,83,William McGirt,96,59.02,363,615
80,84,Robert Streb,75,59.0,259,439
81,85,Will Wilcox,51,58.9,172,292
82,86,Matt Every,85,58.82,330,561
83,87,Erik Compton,88,58.8,344,585
84,88,Jonas Blixt,64,58.76,255,434
85,89,Graham DeLaet,80,58.75,245,417
T86,T90,D.H. Lee,54,58.73,212,361
T86,T90,Scott Brown,100,58.73,370,630
88,102,Rory McIlroy,66,58.52,206,352
89,92,J.B. Holmes,86,58.51,354,605
90,93,Michael Thompson,74,58.42,267,457
91,T78,Jimmy Walker,98,58.39,327,560
92,94,Johnson Wagner,69,58.33,245,420
93,95,Jeff Maggert,54,58.26,194,333
94,96,Tyrone Van Aswegen,79,58.25,293,503
95,120,Ryan Palmer,85,58.24,297,510
96,97,Daniel Summerhays,98,58.22,340,584
97,98,George McNeill,79,58.21,280,481
98,100,Ian Poulter,57,58.05,220,379
99,101,Jonathan Byrd,76,58.02,264,455
100,103,Gonzalo Fernandez-Castaño,83,57.79,334,578
101,104,Bo Van Pelt,83,57.78,271,469
102,105,Josh Teater,90,57.69,319,553
T103,T106,Ryan Moore,86,57.64,279,484
T103,T106,Wes Roach,67,57.64,234,406
105,108,Danny Lee,84,57.62,295,512
106,99,Morgan Hoffmann,103,57.53,382,664
107,109,John Huh,87,57.52,306,532
108,110,Brooks Koepka,56,57.51,203,353
109,111,Ken Duke,80,57.48,265,461
110,112,Harris English,95,57.44,301,524
111,113,Martin Flores,85,57.42,294,512
112,114,Sangmoon Bae,76,57.4,291,507
113,115,Carl Pettersson,91,57.33,313,546
114,116,Kevin Chappell,100,57.32,321,560
115,117,Marc Leishman,81,57.29,287,501
116,119,Robert Garrigus,80,57.17,287,502
117,121,Brendon de Jonge,109,57.1,398,697
118,122,Briny Baird,50,56.84,187,329
119,123,K.J. Choi,80,56.78,310,546
120,124,Steven Bowditch,93,56.77,348,613
121,125,J.J. Henry,91,56.72,270,476
T122,T126,Y.E. Yang,79,56.69,305,538
T122,T126,Michael Putnam,106,56.69,343,605
T122,T126,Kevin Kisner,85,56.69,301,531
125,129,Camilo Villegas,95,56.64,320,565
126,130,Ben Curtis,77,56.62,278,491
127,131,Lee Westwood,57,56.28,206,366
128,132,Paul Casey,56,56.23,194,345
129,133,Jamie Lovemark,64,56.2,213,379
130,134,Troy Merritt,62,56.15,219,390
131,135,Jason Bohn,81,56.03,288,514
132,136,Nick Watney,80,56.01,247,441
133,137,Matt Jones,83,55.92,307,549
T134,T138,Will MacKenzie,82,55.91,284,508
T134,T138,John Peterson,62,55.91,208,372
136,140,Roberto Castro,76,55.79,294,527
137,118,Geoff Ogilvy,84,55.77,285,511
138,141,Mark Wilson,69,55.58,239,430
139,142,Andrew Loupe,65,55.56,225,405
140,143,Davis Love III,74,55.43,255,460
141,144,James Driscoll,71,55.4,277,500
T142,T145,Rory Sabbatini,82,55.35,269,486
T142,T145,Stewart Cink,91,55.35,305,551
144,148,Billy Horschel,92,55.32,265,479
145,147,James Hahn,82,55.11,286,519
T146,T150,Justin Hicks,103,54.81,279,509
T146,T150,Woody Austin,63,54.81,228,416
148,149,Hunter Mahan,88,54.71,279,510
149,152,Jim Herman,62,54.7,192,351
150,153,Trevor Immelman,84,54.6,273,500
151,154,David Lingmerth,80,54.58,274,502
152,155,Ryo Ishikawa,75,54.55,258,473
153,156,Chesson Hadley,84,54.2,303,559
154,157,Scott Stallings,77,54.17,273,504
155,158,Kevin Streelman,79,54.07,279,516
156,159,D.A. Points,75,53.88,264,490
157,160,Martin Laird,66,53.72,202,376
158,161,Martin Kaymer,65,53.43,218,408
159,162,Kevin Stadler,90,53.41,266,498
160,163,Boo Weekley,73,53.14,220,414
161,164,Ángel Cabrera,69,53.1,231,435
T162,T165,Kevin Tway,64,52.99,204,385
T162,T165,Charlie Beljan,76,52.99,239,451
164,167,Nicholas Thompson,85,52.88,257,486
165,168,John Rollins,84,52.77,267,506
166,169,Jason Dufner,57,52.74,173,328
167,170,Kyle Stanley,87,52.73,261,495
168,171,Troy Matteson,62,52.64,209,397
169,172,Hudson Swafford,75,52.63,210,399
170,T174,Russell Henley,92,52.37,331,632
171,173,Henrik Stenson,56,51.83,156,301
172,T174,Louis Oosthuizen,50,51.8,144,278
173,176,Derek Ernst,80,51.3,256,499
174,177,Tommy Gainey,73,50.56,226,447
175,178,John Merrick,87,50.31,240,477
176,179,Lucas Glover,68,49.74,195,392
177,180,Jim Renner,61,47.98,190,396
